"REF_DATE","GEO","VALUE"
"1965-01","Ontario","6723000"
"1965-01","Manitoba","962000"
"1965-01","Saskatchewan","946000"
"1965-01","Alberta","1443000"
"1965-01","British Columbia","1779000"
"1965-01","Yukon","15000"
"1965-01","Northwest Territories including Nunavut","27000"
"1965-04","Canada","19578000"
"1965-04","Newfoundland and Labrador","486000"
"1965-04","Prince Edward Island","109000"
"1965-04","Nova Scotia","754000"
"1965-04","New Brunswick","614000"
"1965-04","Quebec","5668000"
"1965-04","Ontario","6758000"
"1965-04","Manitoba","964000"
"1965-04","Saskatchewan","948000"
"1965-04","Alberta","1445000"
"1965-04","British Columbia","1790000"
"1965-04","Yukon","15000"
"1965-04","Northwest Territories including Nunavut","27000"
"1965-07","Canada","19678000"
"1965-07","Newfoundland and Labrador","488000"
"1965-07","Prince Edward Island","109000"
"1965-07","Nova Scotia","756000"
"1965-07","New Brunswick","615000"
"1965-07","Quebec","5694000"
"1965-07","Ontario","6803000"
"1965-07","Manitoba","965000"
"1965-07","Saskatchewan","951000"
"1965-07","Alberta","1451000"
"1965-07","British Columbia","1804000"
"1965-07","Yukon","14000"
"1965-07","Northwest Territories including Nunavut","28000"
"1965-10","Canada","19777000"
"1965-10","Newfoundland and Labrador","489000"
"1965-10","Prince Edward Island","109000"
"1965-10","Nova Scotia","755000"
"1965-10","New Brunswick","616000"
"1965-10","Quebec","5720000"
"1965-10","Ontario","6849000"
"1965-10","Manitoba","963000"
"1965-10","Saskatchewan","953000"
"1965-10","Alberta","1453000"
"1965-10","British Columbia","1827000"
"1965-10","Yukon","15000"
"1965-10","Northwest Territories including Nunavut","28000"
"1966-01","Canada","19857000"
"1966-01","Newfoundland and Labrador","490000"
"1966-01","Prince Edward Island","108000"
"1966-01","Nova Scotia","754000"
"1966-01","New Brunswick","616000"
"1966-01","Quebec","5740000"
"1966-01","Ontario","6888000"
"1966-01","Manitoba","962000"
"1966-01","Saskatchewan","952000"
"1966-01","Alberta","1456000"
"1966-01","British Columbia","1848000"
"1966-01","Yukon","15000"
"1966-01","Northwest Territories including Nunavut","28000"
"1966-04","Canada","19939000"
"1966-04","Newfoundland and Labrador","492000"
"1966-04","Prince Edward Island","108000"
