"Date","Good","Scale","Value"
"1961-07","Oxygen, gas and liquid in cylinders or by delivery","thousands","4057"
"1961-07","Sodium hydroxide (caustic soda), as 100% NaOH","units ","32029"
"1961-07","Polyethylene, total","units ","0"
"1961-07","Polystyrene and acrylonitrile-butadiene-styrene (abs)","units ","2162"
"1961-07","Polyvinyl chloride","units ",
"1961-08","Acetylene in cylinders or for delivery by pipeline","thousands","443"
"1961-08","Hydrochloric (muriatic) acid, 100%","units ","1117"
"1961-08","Sulphuric acid, all grades, including oleum, as 100%","units ","117423"
"1961-08","Ammonia, anhydrous, 100%","units ","30433"
"1961-08","Ammonium sulphate","units ","24801"
"1961-08","Chlorine","units ","27697"
"1961-08","Fertilizers, mixed","units ","43553"
"1961-08","Formaldehyde, 100% solids basis","units ","2710"
"1961-08","Oxygen, gas and liquid in cylinders or by delivery","thousands","4843"
"1961-08","Sodium hydroxide (caustic soda), as 100% NaOH","units ","31690"
"1961-08","Polyethylene, total","units ","0"
"1961-08","Polystyrene and acrylonitrile-butadiene-styrene (abs)","units ","2226"
"1961-08","Polyvinyl chloride","units ",
"1961-09","Acetylene in cylinders or for delivery by pipeline","thousands","425"
"1961-09","Hydrochloric (muriatic) acid, 100%","units ","2011"
"1961-09","Sulphuric acid, all grades, including oleum, as 100%","units ","121111"
"1961-09","Ammonia, anhydrous, 100%","units ","41042"
"1961-09","Ammonium sulphate","units ","22593"
"1961-09","Chlorine","units ","27738"
"1961-09","Fertilizers, mixed","units ","61364"
"1961-09","Formaldehyde, 100% solids basis","units ","2656"
"1961-09","Oxygen, gas and liquid in cylinders or by delivery","thousands","4203"
"1961-09","Sodium hydroxide (caustic soda), as 100% NaOH","units ","31929"
"1961-09","Polyethylene, total","units ","0"
"1961-09","Polystyrene and acrylonitrile-butadiene-styrene (abs)","units ","1332"
"1961-09","Polyvinyl chloride","units ",
"1961-10","Acetylene in cylinders or for delivery by pipeline","thousands","460"
"1961-10","Hydrochloric (muriatic) acid, 100%","units ","1372"
"1961-10","Sulphuric acid, all grades, including oleum, as 100%","units ","116535"
"1961-10","Ammonia, anhydrous, 100%","units ","42916"
"1961-10","Ammonium sulphate","units ","21977"
"1961-10","Chlorine","units ","28008"
"1961-10","Fertilizers, mixed","units ","68674"
"1961-10","Formaldehyde, 100% solids basis","units ","2915"
"1961-10","Oxygen, gas and liquid in cylinders or by delivery","thousands","4966"
"1961-10","Sodium hydroxide (caustic soda), as 100% NaOH","units ","32448"
"1961-10","Polyethylene, total","units ","0"
"1961-10","Polystyrene and acrylonitrile-butadiene-styrene (abs)","units ","2332"
"1961-10","Polyvinyl chloride","units ",
"1961-11","Acetylene in cylinders or for delivery by pipeline","thousands","513"
"1961-11","Hydrochloric (muriatic) acid, 100%","units ","1497"
"1961-11","Sulphuric acid, all grades, including oleum, as 100%","units ","124410"
"1961-11","Ammonia, anhydrous, 100%","units ","39944"
"1961-11","Ammonium sulphate","units ","20591"
"1961-11","Chlorine","units ","28053"
"1961-11","Fertilizers, mixed","units ","80809"
"1961-11","Formaldehyde, 100% solids basis","units ","1553"
"1961-11","Oxygen, gas and liquid in cylinders or by delivery","thousands","4247"
"1961-11","Sodium hydroxide (caustic soda), as 100% NaOH","units ","33099"
"1961-11","Polyethylene, total","units ","0"
"1961-11","Polystyrene and acrylonitrile-butadiene-styrene (abs)","units ","2529"
"1961-11","Polyvinyl chloride","units ",
"1961-12","Acetylene in cylinders or for delivery by pipeline","thousands","424"
"1961-12","Hydrochloric (muriatic) acid, 100%","units ","1441"
"1961-12","Sulphuric acid, all grades, including oleum, as 100%","units ","130070"
"1961-12","Ammonia, anhydrous, 100%","units ","44644"
"1961-12","Ammonium sulphate","units ","22994"
"1961-12","Chlorine","units ","27189"
"1961-12","Fertilizers, mixed","units ","60663"
"1961-12","Formaldehyde, 100% solids basis","units ","2739"
"1961-12","Oxygen, gas and liquid in cylinders or by delivery","thousands","3498"
"1961-12","Sodium hydroxide (caustic soda), as 100% NaOH","units ","32622"
"1961-12","Polyethylene, total","units ","0"
"1961-12","Polystyrene and acrylonitrile-butadiene-styrene (abs)","units ","1396"
"1961-12","Polyvinyl chloride","units ",
"1962-01","Acetylene in cylinders or for delivery by pipeline","thousands","465"
"1962-01","Hydrochloric (muriatic) acid, 100%","units ","1925"
"1962-01","Sulphuric acid, all grades, including oleum, as 100%","units ","125435"
"1962-01","Ammonia, anhydrous, 100%","units ","46341"
"1962-01","Ammonium nitrate, all grades","units ","29054"
"1962-01","Ammonium sulphate","units ","24381"
"1962-01","Chlorine","units ","26647"
"1962-01","Fertilizers, mixed","units ","81062"
"1962-01","Formaldehyde, 100% solids basis","units ","3098"
"1962-01","Oxygen, gas and liquid in cylinders or by delivery","thousands","3927"
"1962-01","Sodium hydroxide (caustic soda), as 100% NaOH","units ","30573"
"1962-01","Polyethylene, total","units ","4219"
"1962-01","Polystyrene and acrylonitrile-butadiene-styrene (abs)","units ","1614"
"1962-01","Polyvinyl chloride","units ",
"1962-02","Acetylene in cylinders or for delivery by pipeline","thousands","434"
"1962-02","Hydrochloric (muriatic) acid, 100%","units ","1739"
"1962-02","Sulphuric acid, all grades, including oleum, as 100%","units ","113838"
"1962-02","Ammonia, anhydrous, 100%","units ","40962"
"1962-02","Ammonium nitrate, all grades","units ","25619"
"1962-02","Ammonium sulphate","units ","19687"
"1962-02","Chlorine","units ","26395"
"1962-02","Fertilizers, mixed","units ","88572"
"1962-02","Formaldehyde, 100% solids basis","units ","2743"
"1962-02","Oxygen, gas and liquid in cylinders or by delivery","thousands","4162"
"1962-02","Sodium hydroxide (caustic soda), as 100% NaOH","units ","29844"
"1962-02","Polyethylene, total","units ","5598"
"1962-02","Polystyrene and acrylonitrile-butadiene-styrene (abs)","units ","1468"
"1962-02","Polyvinyl chloride","units ",
"1962-03","Acetylene in cylinders or for delivery by pipeline","thousands","474"
"1962-03","Hydrochloric (muriatic) acid, 100%","units ","1653"
"1962-03","Sulphuric acid, all grades, including oleum, as 100%","units ","141731"
"1962-03","Ammonia, anhydrous, 100%","units ","46119"
"1962-03","Ammonium nitrate, all grades","units ","28837"
"1962-03","Ammonium sulphate","units ","20698"
"1962-03","Chlorine","units ","29823"
"1962-03","Fertilizers, mixed","units ","90658"
"1962-03","Formaldehyde, 100% solids basis","units ","3162"
"1962-03","Oxygen, gas and liquid in cylinders or by delivery","thousands","4271"
"1962-03","Sodium hydroxide (caustic soda), as 100% NaOH","units ","34638"
"1962-03","Polyethylene, total","units ","5739"
"1962-03","Polystyrene and acrylonitrile-butadiene-styrene (abs)","units ","1528"
"1962-03","Polyvinyl chloride","units ",
"1962-04","Acetylene in cylinders or for delivery by pipeline","thousands","442"
"1962-04","Hydrochloric (muriatic) acid, 100%","units ","1738"
"1962-04","Sulphuric acid, all grades, including oleum, as 100%","units ","130020"
"1962-04","Ammonia, anhydrous, 100%","units ","46250"
"1962-04","Ammonium nitrate, all grades","units ","25928"
"1962-04","Ammonium sulphate","units ","24885"
"1962-04","Chlorine","units ","28066"
"1962-04","Fertilizers, mixed","units ","89631"
"1962-04","Formaldehyde, 100% solids basis","units ","2863"
"1962-04","Oxygen, gas and liquid in cylinders or by delivery","thousands","3931"
"1962-04","Sodium hydroxide (caustic soda), as 100% NaOH","units ","32883"
"1962-04","Polyethylene, total","units ","4623"
"1962-04","Polystyrene and acrylonitrile-butadiene-styrene (abs)","units ","1658"
"1962-04","Polyvinyl chloride","units ",
"1962-05","Acetylene in cylinders or for delivery by pipeline","thousands","503"
"1962-05","Hydrochloric (muriatic) acid, 100%","units ","1444"
"1962-05","Sulphuric acid, all grades, including oleum, as 100%","units ","135293"
"1962-05","Ammonia, anhydrous, 100%","units ","49803"
"1962-05","Ammonium nitrate, all grades","units ","26986"
"1962-05","Ammonium sulphate","units ","23893"
"1962-05","Chlorine","units ","28159"
"1962-05","Fertilizers, mixed","units ","101440"
"1962-05","Formaldehyde, 100% solids basis","units ","2630"
"1962-05","Oxygen, gas and liquid in cylinders or by delivery","thousands","4373"
"1962-05","Sodium hydroxide (caustic soda), as 100% NaOH","units ","32523"
"1962-05","Polyethylene, total","units ","4974"
"1962-05","Polystyrene and acrylonitrile-butadiene-styrene (abs)","units ","2112"
"1962-05","Polyvinyl chloride","units ",
"1962-06","Acetylene in cylinders or for delivery by pipeline","thousands","455"
"1962-06","Hydrochloric (muriatic) acid, 100%","units ","1485"
"1962-06","Sulphuric acid, all grades, including oleum, as 100%","units ","128644"
"1962-06","Ammonia, anhydrous, 100%","units ","43003"
"1962-06","Ammonium nitrate, all grades","units ","23406"
"1962-06","Ammonium sulphate","units ","23658"
"1962-06","Chlorine","units ","27736"
"1962-06","Fertilizers, mixed","units ","40554"
"1962-06","Formaldehyde, 100% solids basis","units ","2951"
"1962-06","Oxygen, gas and liquid in cylinders or by delivery","thousands","3610"
"1962-06","Sodium hydroxide (caustic soda), as 100% NaOH","units ","32284"
"1962-06","Polyethylene, total","units ","5042"
"1962-06","Polystyrene and acrylonitrile-butadiene-styrene (abs)","units ","2303"
"1962-06","Polyvinyl chloride","units ",
"1962-07","Acetylene in cylinders or for delivery by pipeline","thousands","436"
"1962-07","Hydrochloric (muriatic) acid, 100%","units ","1797"
"1962-07","Sulphuric acid, all grades, including oleum, as 100%","units ","118779"
"1962-07","Ammonia, anhydrous, 100%","units ","39699"
"1962-07","Ammonium nitrate, all grades","units ","22355"
"1962-07","Ammonium sulphate","units ","16409"
"1962-07","Chlorine","units ","28665"
"1962-07","Fertilizers, mixed","units ","23646"
"1962-07","Formaldehyde, 100% solids basis","units ","2799"
"1962-07","Oxygen, gas and liquid in cylinders or by delivery","thousands","3392"
"1962-07","Sodium hydroxide (caustic soda), as 100% NaOH","units ","33183"
"1962-07","Polyethylene, total","units ","5355"
"1962-07","Polystyrene and acrylonitrile-butadiene-styrene (abs)","units ","1948"
"1962-07","Polyvinyl chloride","units ",
"1962-08","Acetylene in cylinders or for delivery by pipeline","thousands","473"
"1962-08","Hydrochloric (muriatic) acid, 100%","units ","1850"
"1962-08","Sulphuric acid, all grades, including oleum, as 100%","units ","121889"
"1962-08","Ammonia, anhydrous, 100%","units ","43124"
"1962-08","Ammonium nitrate, all grades","units ","23001"
"1962-08","Ammonium sulphate","units ","18548"
"1962-08","Chlorine","units ","27651"
"1962-08","Fertilizers, mixed","units ","33699"
"1962-08","Formaldehyde, 100% solids basis","units ","2968"
"1962-08","Oxygen, gas and liquid in cylinders or by delivery","thousands","3749"
"1962-08","Sodium hydroxide (caustic soda), as 100% NaOH","units ","32472"
"1962-08","Polyethylene, total","units ","5813"
"1962-08","Polystyrene and acrylonitrile-butadiene-styrene (abs)","units ","2555"
"1962-08","Polyvinyl chloride","units ",
"1962-09","Acetylene in cylinders or for delivery by pipeline","thousands","440"
"1962-09","Hydrochloric (muriatic) acid, 100%","units ","1596"
"1962-09","Sulphuric acid, all grades, including oleum, as 100%","units ","124319"
"1962-09","Ammonia, anhydrous, 100%","units ","43518"
"1962-09","Ammonium nitrate, all grades","units ","25790"
"1962-09","Ammonium sulphate","units ","23296"
"1962-09","Chlorine","units ","26798"
"1962-09","Fertilizers, mixed","units ","54107"
"1962-09","Formaldehyde, 100% solids basis","units ","3684"
"1962-09","Oxygen, gas and liquid in cylinders or by delivery","thousands","3835"
"1962-09","Sodium hydroxide (caustic soda), as 100% NaOH","units ","30386"
"1962-09","Polyethylene, total","units ","4996"
"1962-09","Polystyrene and acrylonitrile-butadiene-styrene (abs)","units ","2022"
"1962-09","Polyvinyl chloride","units ",
"1962-10","Acetylene in cylinders or for delivery by pipeline","thousands","521"
"1962-10","Hydrochloric (muriatic) acid, 100%","units ","1723"
"1962-10","Sulphuric acid, all grades, including oleum, as 100%","units ","141235"
"1962-10","Ammonia, anhydrous, 100%","units ","48926"
"1962-10","Ammonium nitrate, all grades","units ","27836"
"1962-10","Ammonium sulphate","units ","23406"
"1962-10","Chlorine","units ","30107"
"1962-10","Fertilizers, mixed","units ","56649"
"1962-10","Formaldehyde, 100% solids basis","units ","3029"
"1962-10","Oxygen, gas and liquid in cylinders or by delivery","thousands","4405"
"1962-10","Sodium hydroxide (caustic soda), as 100% NaOH","units ","34180"
"1962-10","Polyethylene, total","units ","4819"
"1962-10","Polystyrene and acrylonitrile-butadiene-styrene (abs)","units ","3598"
"1962-10","Polyvinyl chloride","units ",
"1962-11","Acetylene in cylinders or for delivery by pipeline","thousands","515"
"1962-11","Hydrochloric (muriatic) acid, 100%","units ","2061"
"1962-11","Sulphuric acid, all grades, including oleum, as 100%","units ","133930"
"1962-11","Ammonia, anhydrous, 100%","units ","43719"
"1962-11","Ammonium nitrate, all grades","units ","26092"
"1962-11","Ammonium sulphate","units ","18615"
"1962-11","Chlorine","units ","27700"
"1962-11","Fertilizers, mixed","units ","84571"
"1962-11","Formaldehyde, 100% solids basis","units ","2943"
"1962-11","Oxygen, gas and liquid in cylinders or by delivery","thousands","4351"
"1962-11","Sodium hydroxide (caustic soda), as 100% NaOH","units ","32204"
"1962-11","Polyethylene, total","units ","5790"
"1962-11","Polystyrene and acrylonitrile-butadiene-styrene (abs)","units ","2773"
"1962-11","Polyvinyl chloride","units ",
"1962-12","Acetylene in cylinders or for delivery by pipeline","thousands","434"
"1962-12","Hydrochloric (muriatic) acid, 100%","units ","1558"
"1962-12","Sulphuric acid, all grades, including oleum, as 100%","units ","144771"
"1962-12","Ammonia, anhydrous, 100%","units ","49300"
"1962-12","Ammonium nitrate, all grades","units ","31404"
"1962-12","Ammonium sulphate","units ","20181"
"1962-12","Chlorine","units ","30311"
"1962-12","Fertilizers, mixed","units ","54707"
"1962-12","Formaldehyde, 100% solids basis","units ","3239"
"1962-12","Oxygen, gas and liquid in cylinders or by delivery","thousands","3641"
"1962-12","Sodium hydroxide (caustic soda), as 100% NaOH","units ","34909"
"1962-12","Polyethylene, total","units ","5411"
"1962-12","Polystyrene and acrylonitrile-butadiene-styrene (abs)","units ","1805"
"1962-12","Polyvinyl chloride","units ",
"1963-01","Acetylene in cylinders or for delivery by pipeline","thousands","504"
"1963-01","Hydrochloric (muriatic) acid, 100%","units ","1517"
"1963-01","Sulphuric acid, all grades, including oleum, as 100%","units ","137596"
"1963-01","Ammonia, anhydrous, 100%","units ","49895"
"1963-01","Ammonium nitrate, all grades","units ","43650"
"1963-01","Ammonium sulphate","units ","19644"
"1963-01","Chlorine","units ","30218"
"1963-01","Fertilizers, mixed","units ","64306"
"1963-01","Formaldehyde, 100% solids basis","units ","2972"
"1963-01","Oxygen, gas and liquid in cylinders or by delivery","thousands","4271"
"1963-01","Sodium hydroxide (caustic soda), as 100% NaOH","units ","34484"
"1963-01","Polyethylene, total","units ","4763"
"1963-01","Polystyrene and acrylonitrile-butadiene-styrene (abs)","units ","2342"
"1963-01","Polyvinyl chloride","units ",
"1963-01","Urea, all grades","units ","0"
"1963-02","Acetylene in cylinders or for delivery by pipeline","thousands","463"
"1963-02","Hydrochloric (muriatic) acid, 100%","units ","1559"
"1963-02","Sulphuric acid, all grades, including oleum, as 100%","units ","137529"
"1963-02","Ammonia, anhydrous, 100%","units ","47794"
"1963-02","Ammonium nitrate, all grades","units ","41052"
"1963-02","Ammonium sulphate","units ","18433"
"1963-02","Chlorine","units ","27501"
"1963-02","Fertilizers, mixed","units ","70743"
